timestamp,masked_user,source_ip,destination_ip,action,resource,protocol,access_result,location,device_type,login_attempt_count,anomaly_score,target,log_hour,day_of_week,month,time_diff_prev,user_activity_frequency,unique_actions,source_subnet,dest_subnet,resource_category,access_flag,protocol_HTTP,protocol_HTTPS,protocol_FTP,protocol_SSH,protocol_RDP,device_desktop,device_mobile,device_tablet,location_count,anomaly_bin,session_duration,event_count_session,session_complexity
2024-10-07 12:36:46,user_3699,172.16.14.158,172.16.16.232,upload,/resource/6,SSH,failure,Sydney,mobile,8,0.0056,benign,12,Monday,10,1024,15,4,172.16,172.16,private,0,0,0,0,1,0,0,1,0,34,low,924,12,8
2024-03-09 10:15:27,user_4957,172.16.25.23,172.16.105.151,login,/resource/87,HTTPS,success,London,desktop,10,0.1724,benign,10,Saturday,3,2354,36,4,172.16,172.16,public,1,0,1,0,0,0,1,0,0,50,low,1601,2,2
2024-09-12 13:48:10,user_2370,172.16.229.248,172.16.47.13,logout,/resource/23,HTTP,success,Tokyo,mobile,7,0.407,benign,13,Thursday,9,3509,39,1,172.16,172.16,public,1,1,0,0,0,0,0,1,0,71,medium,1070,6,10
2024-12-21 11:42:17,user_4237,172.16.197.206,172.16.188.194,access,/resource/50,HTTP,success,Tokyo,desktop,3,0.1626,benign,11,Saturday,12,2644,12,1,172.16,172.16,admin,1,1,0,0,0,0,1,0,0,67,low,2699,11,3
2024-12-05 17:58:26,user_5377,172.16.160.102,172.16.159.9,access,/resource/72,HTTP,success,Sydney,tablet,6,0.0843,benign,17,Thursday,12,2756,9,4,172.16,172.16,admin,1,1,0,0,0,0,0,0,1,81,low,203,3,1
2024-08-18 09:55:08,user_5115,172.16.158.173,172.16.156.171,logout,/resource/14,HTTP,success,New York,tablet,3,0.4787,benign,9,Sunday,8,1852,44,2,172.16,172.16,public,1,1,0,0,0,0,0,0,1,83,medium,2031,5,4
2024-10-31 15:19:26,user_5219,172.16.255.166,172.16.158.40,login,/resource/91,HTTP,success,Berlin,desktop,8,0.4769,benign,15,Thursday,10,1616,1,1,172.16,172.16,public,1,1,0,0,0,0,1,0,0,63,medium,2816,14,9
2024-06-11 18:40:39,user_3621,172.16.76.232,172.16.253.31,login,/resource/43,HTTPS,success,São Paulo,desktop,10,0.3316,benign,18,Tuesday,6,3250,1,1,172.16,172.16,admin,1,0,1,0,0,0,1,0,0,40,medium,2716,9,5
2024-06-06 10:37:31,user_3923,172.16.236.183,172.16.136.4,access,/resource/47,HTTPS,failure,São Paulo,tablet,4,0.0009,benign,10,Thursday,6,2782,33,3,172.16,172.16,admin,0,0,1,0,0,0,0,0,1,79,low,2833,5,3
2024-01-05 01:00:30,user_5512,203.0.113.41,203.0.113.60,delete,/admin/secret,FTP,failure,Unknown,desktop,25,0.9415,malicious,1,Friday,1,10,68,3,203.0,203.0,restricted,0,0,0,1,0,0,1,0,0,7,high,57,29,5
2024-09-25 16:03:33,user_1700,172.16.73.118,172.16.47.121,upload,/resource/45,HTTP,failure,New York,tablet,9,0.2212,benign,16,Wednesday,9,881,6,3,172.16,172.16,private,0,1,0,0,0,0,0,0,1,79,low,3308,14,2
2024-12-04 02:42:31,user_3832,203.0.113.144,203.0.113.62,modify,/admin/secret,FTP,failure,Unknown,desktop,24,0.9472,malicious,2,Wednesday,12,3,100,4,203.0,203.0,restricted,0,0,0,1,0,0,1,0,0,1,high,54,12,6
2024-06-25 03:21:26,user_7517,203.0.113.2,203.0.113.184,delete,/system/delete,FTP,failure,Syria,desktop,29,0.9474,malicious,3,Tuesday,6,8,61,4,203.0,203.0,restricted,0,0,0,1,0,0,1,0,0,2,high,38,13,6
2024-02-27 18:08:45,user_8851,172.16.108.7,172.16.49.63,login,/resource/76,SSH,failure,New York,tablet,6,0.4287,benign,18,Tuesday,2,1441,2,1,172.16,172.16,private,0,0,0,0,1,0,0,0,1,43,medium,1289,7,8
2024-10-16 14:10:53,user_7541,172.16.1.195,172.16.228.143,login,/resource/100,HTTP,success,Mumbai,mobile,5,0.1234,benign,14,Wednesday,10,2507,35,2,172.16,172.16,admin,1,1,0,0,0,0,0,1,0,66,low,541,16,6
2024-07-20 11:01:58,user_3385,172.16.154.7,172.16.111.44,upload,/resource/31,HTTPS,failure,Mumbai,tablet,2,0.1966,benign,11,Saturday,7,3572,15,3,172.16,172.16,private,0,0,1,0,0,0,0,0,1,25,low,3094,16,4
2024-03-30 17:04:55,user_6586,172.16.90.56,172.16.212.128,login,/resource/75,HTTP,success,New York,mobile,3,0.1865,benign,17,Saturday,3,2775,21,1,172.16,172.16,public,1,1,0,0,0,0,0,1,0,91,low,2608,17,7
2024-11-23 10:14:04,user_8062,172.16.64.147,172.16.118.175,login,/resource/4,HTTP,failure,São Paulo,desktop,10,0.3851,benign,10,Saturday,11,2615,8,2,172.16,172.16,private,0,1,0,0,0,0,1,0,0,74,medium,730,1,10
2024-04-20 11:58:12,user_7827,172.16.228.95,172.16.176.134,upload,/resource/14,SSH,success,São Paulo,desktop,1,0.1697,benign,11,Saturday,4,3542,7,3,172.16,172.16,private,1,0,0,0,1,0,1,0,0,71,low,1982,3,10
2024-09-09 11:19:47,user_6595,172.16.116.186,172.16.41.7,upload,/resource/95,HTTPS,success,Sydney,tablet,2,0.1097,benign,11,Monday,9,675,15,2,172.16,172.16,admin,1,0,1,0,0,0,0,0,1,65,low,2156,16,7
2024-06-16 09:05:38,user_2241,172.16.235.177,172.16.78.11,access,/resource/87,SSH,failure,Berlin,tablet,5,0.404,benign,9,Sunday,6,2919,43,1,172.16,172.16,private,0,0,0,0,1,0,0,0,1,50,medium,3560,7,8
2024-01-03 15:35:16,user_8329,172.16.77.108,172.16.194.24,access,/resource/66,SSH,failure,London,tablet,1,0.074,benign,15,Wednesday,1,1515,23,2,172.16,172.16,public,0,0,0,0,1,0,0,0,1,69,low,1899,15,7
2024-11-09 14:43:58,user_2706,172.16.197.111,172.16.36.156,login,/resource/33,HTTPS,failure,Berlin,tablet,7,0.1974,benign,14,Saturday,11,2335,1,4,172.16,172.16,admin,0,0,1,0,0,0,0,0,1,60,low,667,19,7
2024-10-03 09:25:55,user_1357,172.16.128.236,172.16.57.131,login,/resource/73,HTTPS,failure,New York,mobile,6,0.3188,benign,9,Thursday,10,2194,38,2,172.16,172.16,public,0,0,1,0,0,0,0,1,0,86,low,216,11,8
2024-08-14 17:50:07,user_5955,172.16.136.246,172.16.179.175,logout,/resource/7,HTTPS,success,Berlin,desktop,2,0.1924,benign,17,Wednesday,8,1843,19,3,172.16,172.16,private,1,0,1,0,0,0,1,0,0,60,low,2759,4,1
2024-06-10 03:06:28,user_3633,203.0.113.51,203.0.113.227,access,/admin/secret,FTP,failure,Unknown,desktop,23,0.9433,malicious,3,Monday,6,9,90,3,203.0,203.0,restricted,0,0,0,1,0,0,1,0,0,10,high,22,24,8
2024-08-19 15:10:35,user_3926,172.16.172.132,172.16.123.72,access,/resource/66,HTTP,failure,Berlin,desktop,8,0.0358,benign,15,Monday,8,2915,8,4,172.16,172.16,admin,0,1,0,0,0,0,1,0,0,33,low,3246,1,5
